Name,BlockId,Col,Row,Name1,Name2,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Drug,DrugNum,Average,Dist,Inflection,Neighbor,MedianEffect,count,min,max,Experiment
A-485_2,6,10,4,Tazemetostat_1,A-485_2,0,2.5,10.0617459511419,3,0.99,0.01,0.99,0.0101010101010101,2.5,2,0.99,0.49,8,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
A-485_2,6,10,3,Tazemetostat_1,A-485_2,0,5,8.4190095042116,3,0.842970058275577,0.157029941724423,0.842970058275577,0.186281754829645,5,2,0.842970058275577,0.342970058275577,8,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
A-485_2,6,10,2,Tazemetostat_1,A-485_2,0,10,16.8518131964377,3,0.99,0.01,0.99,0.0101010101010101,10,2,0.99,0.49,8,-1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
A-485_2,6,10,1,Tazemetostat_1,A-485_2,0,20,9.92907197818104,3,0.99,0.01,0.99,0.0101010101010101,20,2,0.99,0.49,8,-2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,6,10,10,Tazemetostat_1,A-485_2,0,0,12.1109240925881,3,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,1,0.9999,0.4999,9,8,NA,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,6,5,10,Tazemetostat_1,A-485_2,1.25,0,14.1725819514206,3,0.862653564021868,0.137346435978132,0.862653564021868,0.159213897335327,1.25,1,0.862653564021868,0.362653564021868,9,3,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,6,4,10,Tazemetostat_1,A-485_2,2.5,0,10.0833787607862,3,0.731662379046506,0.268337620953494,0.731662379046506,0.366750606069413,2.5,1,0.731662379046506,0.231662379046506,9,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,6,3,10,Tazemetostat_1,A-485_2,5,0,4.22091915124636,3,0.721465486001442,0.278534513998558,0.721465486001442,0.386067690558937,5,1,0.721465486001442,0.221465486001442,9,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,6,2,10,Tazemetostat_1,A-485_2,10,0,6.38097903694451,3,0.475404903580904,0.524595096419096,0.475404903580904,1.10347009984053,10,1,0.475404903580904,0.0245950964190964,9,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,6,1,10,Tazemetostat_1,A-485_2,20,0,5.05421345545331,3,0.254768726825355,0.745231273174645,0.254768726825355,2.92512853701038,20,1,0.254768726825355,0.245231273174645,9,-1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,8,10,10,Tazemetostat_1,Vincristine sulfate_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,1,0.9999,0.4999,10,9,NA,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,8,5,10,Tazemetostat_1,Vincristine sulfate_2,1.25,0,NA,1,0.834195386023348,0.165804613976652,0.834195386023348,0.198759926936363,1.25,1,0.834195386023348,0.334195386023348,10,4,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,8,4,10,Tazemetostat_1,Vincristine sulfate_2,2.5,0,NA,1,0.771723382771895,0.228276617228105,0.771723382771895,0.29580108925581,2.5,1,0.771723382771895,0.271723382771895,10,3,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,8,3,10,Tazemetostat_1,Vincristine sulfate_2,5,0,NA,1,0.86290463897326,0.13709536102674,0.86290463897326,0.158876606793845,5,1,0.86290463897326,0.36290463897326,10,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,8,2,10,Tazemetostat_1,Vincristine sulfate_2,10,0,NA,1,0.798473042087547,0.201526957912453,0.798473042087547,0.252390434354022,10,1,0.798473042087547,0.298473042087547,10,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,8,1,10,Tazemetostat_1,Vincristine sulfate_2,20,0,NA,1,0.691029523680429,0.308970476319571,0.691029523680429,0.447116173378514,20,1,0.691029523680429,0.191029523680429,10,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Vincristine sulfate_2,8,10,10,Tazemetostat_1,Vincristine sulfate_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.001953,2,0.9999,0.4999,3,2,TRUE,5,0.003906,0.03125,EOL1_ASSAY_ID_10946
