Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,NCGC00505118_2,6,4,10,2.5,0.625,10.0833787607862,3,0.731662379046506,0.268337620953494,0.731662379046506,0.366750606069413,Tazemetostat_1,2.5,1,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,3,10,5,0.625,4.22091915124636,3,0.721465486001442,0.278534513998558,0.721465486001442,0.386067690558937,Tazemetostat_1,5,1,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,2,10,10,0.625,6.38097903694451,3,0.475404903580904,0.524595096419096,0.475404903580904,1.10347009984053,Tazemetostat_1,10,1,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,1,10,20,0.625,5.05421345545331,3,0.254768726825355,0.745231273174645,0.254768726825355,2.92512853701038,Tazemetostat_1,20,1,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,10,10,0.625,0.001953,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,5,10,1.25,0.001953,NA,1,0.834195386023348,0.165804613976652,0.834195386023348,0.198759926936363,Tazemetostat_1,1.25,1,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,4,10,2.5,0.001953,NA,1,0.771723382771895,0.228276617228105,0.771723382771895,0.29580108925581,Tazemetostat_1,2.5,1,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,3,10,5,0.001953,NA,1,0.86290463897326,0.13709536102674,0.86290463897326,0.158876606793845,Tazemetostat_1,5,1,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,2,10,10,0.001953,NA,1,0.798473042087547,0.201526957912453,0.798473042087547,0.252390434354022,Tazemetostat_1,10,1,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,1,10,20,0.001953,NA,1,0.691029523680429,0.308970476319571,0.691029523680429,0.447116173378514,Tazemetostat_1,20,1,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,10,10,0.625,0.001953,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Vincristine sulfate_2,0,2,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,10,9,0.625,0.003906,NA,1,0.805128146361481,0.194871853638519,0.805128146361481,0.242038307217528,Vincristine sulfate_2,0.003906,2,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,10,8,0.625,0.007812,NA,1,0.617713054116151,0.382286945883849,0.617713054116151,0.618874643066821,Vincristine sulfate_2,0.007812,2,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,10,7,0.625,0.015625,NA,1,0.0967747219320075,0.903225278067993,0.0967747219320075,9.33327691401258,Vincristine sulfate_2,0.015625,2,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Vincristine sulfate_2,8,10,6,0.625,0.03125,NA,1,0.0360789291527156,0.963921070847284,0.0360789291527156,26.7170088881291,Vincristine sulfate_2,0.03125,2,1.25,20,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,10,0.625,0.003906,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,5,10,1.25,0.003906,NA,1,0.834990745488708,0.165009254511292,0.834990745488708,0.197618063916043,Tazemetostat_1,1.25,1,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
